dummy,newshead,date,office,title,attacker,advantage,Evaluated,namming,partiality,Sum,URL
_,1100701.202,20201028,세계일보,버스서 여고생 추행하고 “꽃뱀 아니길 기도드린다” 70대에 2심도 실형,남성,0,0,1,0,1,http://www.segye.com/content/html/2020/10/28/20201028519717.html
_,1100401.202,20201028,동아일보,"게스트하우스서 잇달아 女손님 성폭행한 주인, 2심서 감형 왜?",남성,0,1,0,1,2,https://www.donga.com/news/article/all/20201028/103678918/2
_,1100611.202,20201028,서울신문,미용실에 성추행 문구 전단 뿌린 40대 벌금형,남성,0,0,0,0,0,http://www.seoul.co.kr/news/newsView.php?id=20201028500133
_,1100801.202,20201028,조선일보,"뒤집힌 미투 1심 실형받은 교수, 2심선 무죄",남성,1,0,1,0,2,https://www.chosun.com/national/regional/honam/2020/10/28/PMGWK6NRDFE7HLZYZAFIFNTMY4/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,1100611.202,20201028,서울신문,항소심서 뒤집힌 ‘전주대 미투’ 제자 성추행 교수 무죄,남성,0,0,1,0,1,http://www.seoul.co.kr/news/newsView.php?id=20201028500112
_,1100701.202,20201027,세계일보,“여긴 느낌이 오냐” 머리카락 만진 상사 벌금 200만원,남성,1,0,1,0,2,http://www.segye.com/content/html/2020/10/27/20201027505015.html
_,2100201.202,20201027,머니투데이,"""느낌 오냐""며 신입 머리 만진 40대, 벌금 200만원",남성,0,0,1,0,1,http://news.moneytoday.co.kr/view/mtview.php?no=2020102616195759301&type=2
_,1100611.202,20201026,서울신문,“여기 만져도 느낌와?” 신입 머리카락 만진 상사 결국 벌금형,남성,0,0,1,0,1,http://www.seoul.co.kr/news/newsView.php?id=20201026500167
_,1100401.202,20201026,동아일보,머리카락 만지며 “느낌오냐” 물은 직장상사 벌금 200만원,남성,0,0,1,0,1,https://www.donga.com/news/article/all/20201026/103639179/2
_,1101101.202,20201026,한국일보,“여기는 느낌 오냐” 신입사원 머리카락 만진 성희롱 상사 벌금형,남성,0,0,1,0,1,https://hankookilbo.com/News/Read/A2020102616580001435
_,1100801.202,20201026,조선일보,"신입사원 머리 만지며 “느낌 오냐” 직장상사, 벌금 200만원",남성,0,0,1,0,1,https://www.chosun.com/national/court_law/2020/10/26/GRWBAJZTL5E7XG7KUJMGM2EW6A/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,2100201.202,20201026,머니투데이,"""느낌 오냐?"" 신입사원 머리카락 만진 상사, 벌금 200만원",남성,1,0,1,0,2,http://news.moneytoday.co.kr/view/mtview.php?no=2020102614122440934&type=2
_,1100901.202,20201026,중앙일보,"신입 머리카락 만지며 ""느낌 오냐""  성희롱 상사 벌금 200만원",남성,1,0,0,0,1,https://news.joins.com/article/olink/23498299
